,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
124,False,/1aBYcDp9CVbwU4h6mOYkkUgMPEl.jpg,[18],194797,['KR'],ko,이두나!,A college student navigates life and school while dealing with a unique predicament — he's living with a beautiful former K-pop sensation.,11.4568,/bQhiOkU3lCu5pwCqPdNVG5GBLlj.jpg,2023-10-20,False,Doona!,7.692,224
125,False,/i8iujCYtGOG8f6ui90ADs5NxHKb.jpg,"[80, 18]",69087,['KR'],ko,보이스,"It's 3 minutes for hearers, but a life for the callers. A crime thriller chasing even the slightest sounds to rescue people's lives calling for urgent help.",11.4475,/gMgzUEvNljCkNjUDlGaYyLn2zyz.jpg,2017-01-14,False,Voice,7.232,71
126,False,/zFDJkMyfKKH38f22ilBoabMPnFw.jpg,[18],223232,"['KR', 'TH']",th,Crush On You,,11.4447,/qHpSMMRL580Oe3g3QSumc1W8fvQ.jpg,2023-03-31,False,Crush On You,7.5,2
127,False,/58XBnfKhP569SuZuXks3fNYpLBm.jpg,"[18, 35]",217553,['KR'],ko,중증외상센터,"To create a top-tier trauma center, a war-seasoned doctor arrives — bringing his blunt but skilled ways to transform his team into life-saving mavericks.",11.4324,/y8h2RwUZM5chv9tuaKVwSPoo3KE.jpg,2025-01-24,False,The Trauma Code: Heroes on Call,8.5,173
128,False,/dxLxJVZQQ77S8K52myee4sJskxc.jpg,"[35, 18]",284744,['KR'],ko,프로보노,"When a respected judge's world falls apart overnight, he joins a top law firm's pro bono team — where hope and purpose wait in humble, unexpected places.",11.4206,/8wovOkYH4CBH45jH1zzkyOMDMSb.jpg,2025-12-06,False,Pro Bono,8.282,39
129,False,/vbkpl0ps4s5tMTUnC7SFXNzWmVr.jpg,"[18, 10765, 35, 9648]",230923,['KR'],ko,선재 업고 튀어,"Right after Ryu Sun-jae, a top star, ends his life, Im Sol, his top fan, somehow ends up at a time when they were in high school and tries to protect him. A fantasy romance unfolds where people who missed each other in time finally meet.",11.3139,/adcdNzLJ8LOjWJjNFrapXGzFco3.jpg,2024-04-08,False,Lovely Runner,8.6,296
130,False,/x0eIZv8bJYjfTu7VkTOxHU8B91c.jpg,"[80, 18, 9648]",110356,['KR'],ko,마이 네임,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.",11.3127,/gHozOomiA24DvlgNfjkYCB5NBiO.jpg,2021-10-15,False,My Name,8.206,1085
131,False,/dfLjomSCGwjDe1fQy1QZBHNqgDS.jpg,"[80, 9648, 18]",292121,['KR'],ko,허수아비,"A fiercely competitive police officer and an idealistic prosecutor, former high school classmates, reunite while investigating a nationwide serial murder case, pulling them into both a dangerous pursuit and an unresolved personal past.",11.2997,/4buHiyaXkkzIdFDu66GOhvXEqbK.jpg,2026-04-20,False,The Scarecrow,8.2,13
132,False,/olRPEYjyjzoMAODjOMjF2K1VlzO.jpg,"[10765, 10759, 35, 18]",233742,['KR'],ko,뉴토피아,"Jae-yoon, a late military enlistee, and his girlfriend, Young-joo, break up over the phone over growing misunderstandings. But a zombie outbreak rocks the world. A national emergency is declared, a plane crashes in the city center, and Jae-yoon and his unit get trapped on top of a Seoul skyscraper. Young-joo risks the zombie-filled streets to find him. Can their love survive the apocalypse?",11.2529,/cIC36RA59lg9ruYtPc7UA3f72yy.jpg,2025-02-07,False,Newtopia,8.0,216
133,False,/dWSR0GpWsgnLZCEe6bGZZIzw8YP.jpg,"[18, 80, 9648]",310800,['KR'],ko,세이렌,"Ace insurance investigator Cha Woo-seok hunts a fraud ring tied to mysterious deaths and becomes dangerously entangled with Han Seol-ah, a flawless art auctioneer whose lovers all seem to die. As attraction and suspicion blur, he must uncover whether she’s a killer or a victim, before the truth costs him his life.",11.2302,/8r8YU97YfSf6QtMKfePmTqhFTeQ.jpg,2026-03-02,False,Siren's Kiss,7.2,41
